"LOCATION","STATUS","DESCRIPTION","ADDRESS1","ADDRESS2","CITY","STATE","ZIP"
"D0001","A","Default Location Code for Acq"," "," "," ","NE",""
"L0002","A","Alhambra","100 S Garfield"," ","Alhambra","CA","91801"
"L0003","A","Anaheim","619 S Brookhurst Ave."," ","Anaheim","CA","92804"
"L0004","A","Anaheim Hills","4501 E La Palma"," ","Anaheim","CA","92807"
"L0005","A","Arcadia","1155 W Huntington Drive"," ","Arcadia","CA","91006"
"L0006","A","Bakersfield","5201 California Avenue"," ","Bakersfield","CA","93309"
"L0007","A","Baldwin Park","14220 Ramona Blvd"," ","Baldwin Park","CA","91706"
"L0008","A","Bell Gardens","7000-A Eastern Avenue"," ","Bell Gardens","CA","90201"
"L0009","A","Bellflower","16824 S Bellflower Blvd"," ","Bellflower","CA","90706"
"L0010","A","Beverly Hills","9401 Wilshire Blvd"," ","Beverly Hills","CA","90212"
"L0011","A","Bunker Hill","300 S Grand Avenue"," ","Los Angeles","CA","90071"
"L0012","A","Castro Valley","3396 Castro Valley Blvd"," ","Castro Valley","CA","94546"
"L0013","A","Central Irvine","14477 Culver Drive"," ","Irvine","CA","92604"
"L0015","A","Chino","12545 Central Avenue"," ","Chino","CA","91710"
"L0016","A","Chino ABC","5370 Jefferson"," ","Chino","CA","91710"
"L0017","A","City Of Commerce","6055 E Washington Blvd"," ","City Of Commerce","CA","90040"
"L0018","A","Colorado Altadena","2500 E Colorado Blvd"," ","Pasadena","CA","91107"
"L0020","A","Compton","1701 N Long Beach Blvd"," ","Compton","CA","90221"
"L0022","A","Corcoran","1045 Whitley Avenue"," ","Corcoran","CA","93212"
"L0024","A","Covina","770 S Citrus Avenue"," ","Covina","CA","91723"
"L0025","A","Crockett","891 Loring Avenue"," ","Crockett","CA","94525"
"L0027","A","Culver City","9735 Washington Blvd"," ","Culver City","CA","90232"
"L0028","A","Country Club","3509 El Camino Avenue"," ","Sacramento","CA","95821"
"L0029","A","Downey","10230 S Paramount Blvd"," ","Downey","CA","90241"
"L0030","A","Dublin","7533 Dublin Blvd"," ","Dublin","CA","94568"
"L0031","A","Encino","16027 Ventura Blvd"," ","Encino","CA","91436"
"L0033","A","First and Herndon","7062 N First Street"," ","Fresno","CA","93720"
"L0035","A","Fremont","39533 Paseo Padre Pkwy"," ","Fremont","CA","94538"
"L0036","A","Fresno","2035 Fresno Street"," ","Fresno","CA","93721"
"L0037","A","Fullerton","3021 Yorba Linda Blvd"," ","Fullerton","CA","92831"
"L0038","A","Garden Grove","12976 Main Street"," ","Garden Grove","CA","92840"
"L0039","A","Gardena","1800 W Redondo Beach Blvd"," ","Gardena","CA","90247"
"L0040","A","Glendale","400 N Glendale Ave"," ","Glendale","CA","91206"
"L0041","A","Hayward Southland","24299 Southland Drive"," ","Hayward","CA","94545"
"L0042","A","Huntington Beach","6881 Warner Avenue"," ","Huntington Beach","CA","92647"
"L0043","A","Irvine","18022 Culver Drive"," ","Irvine","CA","92612"
"L0044","A","La Habra","1330 S. Beach Blvd, Unit A"," ","La Habra","CA","90631"
"L0046","A","La Mirada","12709 Valley View Avenue"," ","La Mirada","CA","90638"
"L0047","A","Lafayette","3583 Mt Diablo Blvd"," ","Lafayette","CA","94549"
"L0048","A","5240 Clark Avenue","5240 Clark Avenue"," ","Lakewood","CA","90712"
"L0049","A","Little Tokyo","123 Astronaut E S Onizuka St","Ste 101","Los Angeles","CA","90012"
"L0051","A","Los Altos","176 Main Street"," ","Los Altos","CA","94022"
"L0053","A","Modesto","3600 McHenry Avenue"," ","Modesto","CA","95356"
"L0054","A","Montclair","2023 Mountain Blvd"," ","Oakland","CA","94611"
"L0055","A","Monterey Park","331 N Atlantic Blvd"," ","Monterey Park","CA","91754"
"L0060","A","Newman","945 Fresno Street"," ","Newman","CA","95360"
"L0061","A","Newport Beach","4400 Macarthur Blvd","Suite #400","Newport Beach","CA","92660"
"L0062","A","Ninth and Valley","855 W Valley Blvd"," ","Alhambra","CA","91803"
"L0063","A","Northridge","16900 Nordhoff Street"," ","Northridge","CA","91343"
"L0064","A","Oakland Main","2127 Broadway"," ","Oakland","CA","94612"
"L0065","A","Orosi","12790 Avenue 416"," ","Orosi","CA","93647"
"L0067","A","Pasadena Main","587 E Colorado Blvd"," ","Pasadena","CA","91101"
"L0068","A","Patterson","5 Plaza Circle"," ","Patterson","CA","95363"
"L0069","A","Pico Rivera","9001 E Whittier Blvd"," ","Pico Rivera","CA","90660"
"L0070","A","Pinole","777 Tennent Avenue"," ","Pinole","CA","94564"
"L0071","A","Rancho Cucamonga","8311 Haven Avenue","Suite 100","Rancho Cucamonga","CA","91730"
"L0072","A","Redondo Beach","3500 Aviation Blvd"," ","Redondo Beach","CA","90278"
"L0073","A","Riverdale","3494 Mt Whitney Avenue"," ","Riverdale","CA","93656"
"L0074","A","Rosemead","9000 E Valley Blvd"," ","Rosemead","CA","91770"
"L0075","A","Roseville","1112 Galleria Blvd"," ","Roseville","CA","95678"
"L0076","A","Rowland Heights","19005 Colima Road"," ","Rowland Heights","CA","91748"
"L0078","A","San Clemente","641 Camino De Los Mares"," ","San Clemente","CA","92673"
"L0079","A","San Diego Main","701 B Street","Suite 150","San Diego","CA","92101"
"L0080","A","San Francisco Chinatown","505 Montgomery Street"," ","San Francisco","CA","94111"
"L0081","A","One Front Street","One Front Street"," ","San Francisco","CA","94111"
"L0082","A","San Francisco Mission","2812 Mission Street"," ","San Francisco","CA","94110"
"L0086","A","San Marino","2395 Huntington Drive"," ","San Marino","CA","91108"
